airbnb_listing_id,ad_name,listing_type,number_of_bedrooms,number_of_bathrooms,number_of_guests,suburb,suburb_key,latitude_analitica,longitude_analitica,star_rating,number_of_reviews,cleaning_fee,is_superhost,is_professional,observacoes_preco,datas_validas,primeira_data_estadia,ultima_data_estadia,diaria_mediana_anunciada,diaria_media_anunciada,diaria_minima_anunciada,diaria_maxima_anunciada,diaria_desvio_padrao,capturas_medias_por_data,capturas_maximas_por_data,antecedencia_mediana_dias,diaria_p25_anunciada,diaria_p75_anunciada,diaria_mediana_dia_util,diaria_mediana_fim_semana,observacoes_fim_semana_percentual,diaria_iqr,dias_intervalo_observado,cobertura_intervalo_percentual,tem_preco_valido,amostra_elegivel_7_datas,amostra_elegivel_14_datas,amostra_elegivel_30_datas,amostra_preco_elegivel
41143904,LINDO APARTAMENTO EM ITAPEMA SC,apartamento,0,2.0,8,Tabuleiro dos Oliveiras,tabuleirodosoliveiras,-27.09709,-48.61863,0.0,0,0.0,False,False,0,0,,,,,,,,,,,,,,,,,,,False,False,False,False,False
41147466,"Um pedacinho do mar para você, 2 min até a praia",apartamento,0,2.0,6,Meia Praia,meiapraia,-27.13412,-48.59637,4.860000133514404,42,300.0,True,False,45,45,2025-03-07,2025-04-20,540.0,520.0,495.0,540.0,22.613350843332373,2.4,3.0,67.43207175925926,495.0,540.0,540.0,540.0,31.11111111111111,45.0,45.0,100.0,True,True,True,True,True
41180369,Apt. Amplo - 15m da Praia R. 301.,apartamento,3,3.0,7,Meia Praia,meiapraia,-27.1395606995,-48.5914382935,4.0,1,0.0,False,,0,0,,,,,,,,,,,,,,,,,,,False,False,False,False,False
41189223,SUÍTE AMPLA E CONFORTÁVEL-Meia Praia a 550m do mar,outros,1,1.0,5,Meia Praia,meiapraia,-27.14284,-48.59961,5.0,3,150.0,True,False,0,0,,,,,,,,,,,,,,,,,,,False,False,False,False,False
41193865,Apê 150m do mar. Com ar-condicionado.,apartamento,3,2.0,7,Meia Praia,meiapraia,-27.13144,-48.60254,4.71999979019165,46,250.0,False,False,74,74,2025-01-15,2025-04-20,400.0,414.3581081081081,400.0,530.0,31.703384533709702,2.054054054054054,3.0,56.908032407407404,400.0,403.75,400.0,400.0,25.675675675675674,3.75,96.0,77.08333333333334,True,True,True,True,True
41227471,Apartamento a 400m da praia com 3 dormitórios,apartamento,3,2.0,7,Meia Praia,meiapraia,-27.13434,-48.59926,5.0,34,300.0,True,False,81,81,2025-01-11,2025-04-20,610.0,657.9012345679013,360.0,920.0,192.3649919383899,2.5555555555555554,3.0,52.43020833333333,610.0,840.0,610.0,610.0,29.629629629629626,230.0,100.0,81.0,True,True,True,True,True
41235599,Apartamento Beira Mar em Meia Praia Itapema - SC,apartamento,3,2.0,6,Centro,centro,-27.09607,-48.61781,4.829999923706055,6,350.0,False,False,0,0,,,,,,,,,,,,,,,,,,,False,False,False,False,False
41256358,Pousada mais confortável de Itapema,casa,1,1.0,2,Canto da Praia,cantodapraia,-27.08897,-48.60574,5.0,1,50.0,False,False,0,0,,,,,,,,,,,,,,,,,,,False,False,False,False,False
41260111,501 Bom demais 30 mt do mar,apartamento,4,3.0,11,Meia Praia,meiapraia,-27.13599967956543,-48.595001220703125,5.0,6,400.0,False,False,85,85,2025-01-12,2025-04-20,1763.0,1787.6209835294117,1469.0,2034.0,230.8707110405761,2.5647058823529414,3.0,47.41962962962963,1526.0,2034.0,1763.0,1819.45,28.235294117647058,508.0,99.0,85.85858585858585,True,True,True,True,True
41261098,Apartamento em Ótima Localização e Sacada Ampla,apartamento,2,2.0,6,Centro,centro,-27.1055393219,-48.613319397,5.0,4,200.0,False,False,0,0,,,,,,,,,,,,,,,,,,,False,False,False,False,False
41266951,502D Para amar! Ap com vista mar,apartamento,3,3.0,9,Meia Praia,meiapraia,-27.13328,-48.5977,5.0,4,400.0,False,False,0,0,,,,,,,,,,,,,,,,,,,False,False,False,False,False
41270247,Apartamento vista mar todo reformado em Meia Praia,apartamento,3,2.0,9,Meia Praia,meiapraia,-27.1218795776,-48.6061210632,4.889999866485596,18,250.0,True,False,27,27,2025-02-22,2025-04-20,600.0,603.9012333333334,600.0,638.6667,11.27693644568416,1.7407407407407407,3.0,76.42040509259259,600.0,600.0,600.0,600.0,29.629629629629626,0.0,58.0,46.55172413793103,True,True,True,False,True
41285546,"Quadra do mar - Meia Praia, Itapema",apartamento,3,2.0,8,Meia Praia,meiapraia,-27.14166,-48.59257,4.96999979019165,37,200.0,False,False,91,91,2025-01-12,2025-04-19,800.0,593.7866303296703,300.0,1000.0,280.408549268766,2.5714285714285716,3.0,43.39326388888889,300.0,850.0,800.0,576.0,28.57142857142857,550.0,98.0,92.85714285714286,True,True,True,True,True
41291609,"Lindo Apto, Espaçoso! 3 suítes, ótima localização!",apartamento,3,2.0,6,Morretes,morretes,-27.12157,-48.61048,4.760000228881836,17,0.0,False,,0,0,,,,,,,,,,,,,,,,,,,False,False,False,False,False
41310506,Apartamento com 3 suítes 150 mts da Praia,apartamento,1,4.0,10,Meia Praia,meiapraia,-27.13303,-48.60713,0.0,0,0.0,False,False,0,0,,,,,,,,,,,,,,,,,,,False,False,False,False,False
41315084,"18° andar. Vista fantástica praia, cidade e parque",apartamento,3,3.0,6,Meia Praia,meiapraia,-27.14189910888672,-48.59626007080078,0.0,0,0.0,False,,0,0,,,,,,,,,,,,,,,,,,,False,False,False,False,False
41317188,AP Luxo 3 suítes 3 vagas portaria completo,apartamento,3,3.0,7,Meia Praia,meiapraia,-27.12667,-48.60307,5.0,4,300.0,True,False,0,0,,,,,,,,,,,,,,,,,,,False,False,False,False,False
41335739,"Ótimo apto 3 quartos, próx. Shopping Russi Russi",apartamento,3,3.0,7,Meia Praia,meiapraia,-27.1343002319,-48.6087188721,0.0,0,0.0,False,,0,0,,,,,,,,,,,,,,,,,,,False,False,False,False,False
41340678,Apartamento 2 Dormitórios,apartamento,3,2.0,5,Alto Sao Bento,altosaobento,-27.0879993439,-48.6129989624,5.0,3,250.0,False,False,0,0,,,,,,,,,,,,,,,,,,,False,False,False,False,False
41350901,"Apto na praia , do litoral catarinense .",apartamento,2,3.0,4,Centro,centro,-27.0987,-48.61503,0.0,0,0.0,False,False,0,0,,,,,,,,,,,,,,,,,,,False,False,False,False,False
41396290,"Aconchegante apto em Meia Praia, perto de tudo!!",apartamento,2,2.0,4,Meia Praia,meiapraia,-27.13671,-48.60456,5.0,3,0.0,False,,0,0,,,,,,,,,,,,,,,,,,,False,False,False,False,False
41404141,Apto a 70 metros da praia. Sacada ampla vista mar.,apartamento,3,2.0,6,Meia Praia,meiapraia,-27.13329,-48.59653,5.0,5,180.0,False,False,68,68,2025-02-12,2025-04-20,690.0,700.6999999999999,690.0,800.0,32.180563337462196,2.426470588235294,3.0,55.93490740740741,690.0,690.0,690.0,690.0,29.411764705882355,0.0,68.0,100.0,True,True,True,True,True
41409542,Ap Bem Localizado a 250m da Praia,apartamento,2,1.0,5,Meia Praia,meiapraia,-27.13975,-48.5969,4.829999923706055,6,1200.0,False,False,0,0,,,,,,,,,,,,,,,,,,,False,False,False,False,False
41411552,APARTAMENTO COBERTURA FRENTE AO MAR,apartamento,3,3.0,10,Centro,centro,-27.0979804993,-48.6133499146,0.0,0,180.0,False,False,0,0,,,,,,,,,,,,,,,,,,,False,False,False,False,False
41420865,"Excelente imoveldecorado,venha curtir suas férias",apartamento,3,2.0,8,Meia Praia,meiapraia,-27.13076,-48.6046,4.889999866485596,9,300.0,False,False,0,0,,,,,,,,,,,,,,,,,,,False,False,False,False,False
41454399,FB. Aluguel Verão. 2 Quartos. Quadra Mar. Esq. Av.,apartamento,2,2.0,5,Meia Praia,meiapraia,-27.13247,-48.5979,0.0,0,250.0,False,False,0,0,,,,,,,,,,,,,,,,,,,False,False,False,False,False
41457268,Aluguel de verão,casa,0,2.0,8,Sertaozinho,sertaozinho,-27.08192,-48.60984,0.0,0,150.0,False,False,0,0,,,,,,,,,,,,,,,,,,,False,False,False,False,False
41470273,"Apt 2 quartos, Meia praia, quadra mar, rua 293",apartamento,2,1.0,5,Meia Praia,meiapraia,-27.13865,-48.59335,4.840000152587891,121,0.0,True,False,0,0,,,,,,,,,,,,,,,,,,,False,False,False,False,False
41473343,Casa com piscina em Itapema,casa,3,0.0,8,Casa Branca,casabranca,-27.09147,-48.61891,4.760000228881836,21,350.0,True,False,0,0,,,,,,,,,,,,,,,,,,,False,False,False,False,False
41473656,Verão em Meia Praia com linda vista para o mar!,apartamento,4,3.0,10,Meia Praia,meiapraia,-27.132999420166016,-48.59700012207031,4.880000114440918,43,270.0,True,False,23,23,2025-03-10,2025-04-12,700.0,714.1529,621.0,869.5,73.13075906939818,2.5217391304347827,3.0,70.39836805555555,700.0,743.9,700.0,700.0,21.73913043478261,43.89999999999998,34.0,67.64705882352942,True,True,True,False,True
