airbnb_listing_id,diaria_mediana_anunciada,datas_validas,cenario,ocupacao_assumida,dias_ano,natureza,noites_ocupadas_assumidas,potencial_bruto_anualizado
1034873975277447845,655.25,62,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,131541.44
1034873975277447845,655.25,62,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,167416.37
1035628196408986358,805.0,43,conservador,0.4,365,hipotese_de_sensibilidade,146.0,117530.0
1035628196408986358,805.0,43,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,161603.75
1035628196408986358,805.0,43,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,205677.5
1036955655225647222,500.0,70,conservador,0.4,365,hipotese_de_sensibilidade,146.0,73000.0
1036955655225647222,500.0,70,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,100375.0
1036955655225647222,500.0,70,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,127750.0
1037004838842410100,330.0,35,conservador,0.4,365,hipotese_de_sensibilidade,146.0,48180.0
1037004838842410100,330.0,35,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,66247.5
1037004838842410100,330.0,35,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,84315.0
1037047027853581998,890.0,43,conservador,0.4,365,hipotese_de_sensibilidade,146.0,129940.0
1037047027853581998,890.0,43,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,178667.5
1037047027853581998,890.0,43,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,227395.0
1039235354309448898,150.0,75,conservador,0.4,365,hipotese_de_sensibilidade,146.0,21900.0
1039235354309448898,150.0,75,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,30112.5
1039235354309448898,150.0,75,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,38325.0
1042032092670718662,402.0,29,conservador,0.4,365,hipotese_de_sensibilidade,146.0,58692.0
1042032092670718662,402.0,29,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,80701.5
1042032092670718662,402.0,29,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,102711.0
1043497443334655968,870.0,42,conservador,0.4,365,hipotese_de_sensibilidade,146.0,127020.0
1043497443334655968,870.0,42,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,174652.5
1043497443334655968,870.0,42,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,222285.0
1043599286749467076,402.25,62,conservador,0.4,365,hipotese_de_sensibilidade,146.0,58728.5
1043599286749467076,402.25,62,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,80751.69
1043599286749467076,402.25,62,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,102774.87
1044223371798078486,800.0,70,conservador,0.4,365,hipotese_de_sensibilidade,146.0,116800.0
1044223371798078486,800.0,70,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,160600.0
1044223371798078486,800.0,70,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,204400.0
1044458170286255125,820.0,55,conservador,0.4,365,hipotese_de_sensibilidade,146.0,119720.0
1044458170286255125,820.0,55,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,164615.0
1044458170286255125,820.0,55,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,209510.0
1045077329214831775,800.0,31,conservador,0.4,365,hipotese_de_sensibilidade,146.0,116800.0
1045077329214831775,800.0,31,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,160600.0
1045077329214831775,800.0,31,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,204400.0
1045459185575382038,500.0,93,conservador,0.4,365,hipotese_de_sensibilidade,146.0,73000.0
1045459185575382038,500.0,93,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,100375.0
1045459185575382038,500.0,93,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,127750.0
1045520246239520927,957.1429,81,conservador,0.4,365,hipotese_de_sensibilidade,146.0,139742.86
1045520246239520927,957.1429,81,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,192146.44
1045520246239520927,957.1429,81,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,244550.01
1045592510645908121,500.0,65,conservador,0.4,365,hipotese_de_sensibilidade,146.0,73000.0
1045592510645908121,500.0,65,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,100375.0
1045592510645908121,500.0,65,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,127750.0
1045916135727198441,650.0,59,conservador,0.4,365,hipotese_de_sensibilidade,146.0,94900.0
1045916135727198441,650.0,59,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,130487.5
1045916135727198441,650.0,59,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,166075.0
1046547202929220520,378.0,59,conservador,0.4,365,hipotese_de_sensibilidade,146.0,55188.0
1046547202929220520,378.0,59,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,75883.5
1046547202929220520,378.0,59,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,96579.0
1047723626454445067,1700.0,102,conservador,0.4,365,hipotese_de_sensibilidade,146.0,248200.0
1047723626454445067,1700.0,102,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,341275.0
1047723626454445067,1700.0,102,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,434350.0
1048804459244346908,700.0,82,conservador,0.4,365,hipotese_de_sensibilidade,146.0,102200.0
1048804459244346908,700.0,82,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,140525.0
1048804459244346908,700.0,82,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,178850.0
1050857413300266721,614.0,58,conservador,0.4,365,hipotese_de_sensibilidade,146.0,89644.0
1050857413300266721,614.0,58,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,123260.5
1050857413300266721,614.0,58,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,156877.0
1052110098791057231,575.0,53,conservador,0.4,365,hipotese_de_sensibilidade,146.0,83950.0
1052110098791057231,575.0,53,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,115431.25
1052110098791057231,575.0,53,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,146912.5
1052490589225547467,700.0,67,conservador,0.4,365,hipotese_de_sensibilidade,146.0,102200.0
