variavel,coeficiente_log,erro_padrao_hc3,limite_inferior_log_95,limite_superior_log_95,associacao_percentual_aproximada,limite_inferior_percentual_95,limite_superior_percentual_95,rotulo,cenario_modelo,anuncios_modelo,r_quadrado,referencias_categoricas,interpretacao
intercepto,6.448115326100191,0.12160915455066706,6.209761383180884,6.686469269019498,63051.09782869656,49658.250556528146,80048.74141201856,intercepto,corte_14_datas,959,0.552465714504489,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
reviews_log2,-0.0335863139578417,0.010595016166629329,-0.05435254564443519,-0.012820082271248218,-3.3028555503211807,-5.290184769024015,-1.2738255066945703,Dobro em (reviews + 1),corte_14_datas,959,0.552465714504489,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
avaliacao_centrada,0.3822230819023249,0.09648834903074538,0.19310591780206396,0.5713402460025858,46.55389838934638,21.301126620242226,77.06385531237676,+1 ponto na avaliação (entre avaliados),corte_14_datas,959,0.552465714504489,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
possui_avaliacao,-0.2232660310383931,0.09547116907280251,-0.410389522421086,-0.03614253965570019,-20.00979777790785,-33.6608206175336,-3.5497196213084816,Possui avaliação,corte_14_datas,959,0.552465714504489,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
taxa_limpeza_100,0.008329021254121459,0.01668777563284237,-0.024379018986249584,0.0410370614944925,0.8363804053474739,-2.4084250946598593,4.1890718857080325,+R$ 100 na taxa de limpeza,corte_14_datas,959,0.552465714504489,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
is_superhost,-0.0531946373126893,0.027162430668087826,-0.10643300142214143,4.372679676283714e-05,-5.180455969184094,-10.096471977130255,0.004372775279314937,Superhost,corte_14_datas,959,0.552465714504489,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
is_professional,0.16808206448889815,0.03865113749925897,0.09232583499035057,0.24383829398744572,18.303369171956234,9.672211430803399,27.61379546236838,Anfitrião profissional,corte_14_datas,959,0.552465714504489,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
can_instant_book,0.02512914978931928,0.03128922505270549,-0.03619773131398348,0.08645603089262205,2.5447548307556516,-3.5550427253276498,9.030342699537563,Reserva instantânea,corte_14_datas,959,0.552465714504489,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
is_guest_favorite,-0.09605386810607305,0.029394587471610938,-0.15366725955043048,-0.038440476661715614,-9.158491984922055,-14.24426824486506,-3.7711018312272615,Preferido dos hóspedes,corte_14_datas,959,0.552465714504489,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
comodidade_piscina,0.1994197720959474,0.050681928872240996,0.10008319150635506,0.2987563526855398,22.0694271759465,10.526286273355641,34.818110274784914,Com piscina,corte_14_datas,959,0.552465714504489,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
