dimensao,categoria,anuncios_totais,anuncios_elegiveis,diaria_mediana_anunciada,diaria_p25_anunciada,diaria_p75_anunciada,premio_fim_semana_mediano_percentual,cobertura_elegivel_percentual,potencial_bruto_anualizado_base,status_amostra,ranking,periodo_estadias,unidade_diaria,fonte,corte_datas,tratamento_extremos
perfil_combinado,casa | 0 (studio) quarto(s) | 7+ hóspede(s),4,0,,,,,0.0,,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,casa | 1 quarto(s) | 7+ hóspede(s),4,0,,,,,0.0,,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,casa | 2 quarto(s) | 1–2 hóspede(s),2,0,,,,,0.0,,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,casa | 3 quarto(s) | 3–4 hóspede(s),2,0,,,,,0.0,,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,outros | 0 (studio) quarto(s) | 1–2 hóspede(s),5,0,,,,,0.0,,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,outros | 0 (studio) quarto(s) | 3–4 hóspede(s),2,0,,,,,0.0,,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,outros | 0 (studio) quarto(s) | 7+ hóspede(s),1,0,,,,,0.0,,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,outros | 1 quarto(s) | 5–6 hóspede(s),14,0,,,,,0.0,,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,outros | 1 quarto(s) | 7+ hóspede(s),3,0,,,,,0.0,,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,outros | 2 quarto(s) | 3–4 hóspede(s),8,0,,,,,0.0,,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,outros | 2 quarto(s) | 5–6 hóspede(s),17,0,,,,,0.0,,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,outros | 2 quarto(s) | 7+ hóspede(s),4,0,,,,,0.0,,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,outros | 3 quarto(s) | 1–2 hóspede(s),1,0,,,,,0.0,,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,outros | 3 quarto(s) | 3–4 hóspede(s),1,0,,,,,0.0,,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,outros | 3 quarto(s) | 5–6 hóspede(s),4,0,,,,,0.0,,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,outros | 3 quarto(s) | 7+ hóspede(s),10,0,,,,,0.0,,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,outros | 4+ quarto(s) | 1–2 hóspede(s),1,0,,,,,0.0,,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
