segmento,rotulo,corte_datas,tratamento_extremos,metrica_diaria,metrica_compra,cenario_ocupacao,ocupacao_assumida,anuncios_airbnb,anuncios_vivareal,diaria_usada,preco_compra_usado,retorno_bruto_indicativo_percentual,comparavel_ranqueavel,ranking_no_cenario
centro_studio,Centro | studio,7,completa,p25,p25,conservador,0.4,0,0,,,,False,
meiapraia_1q,Meia Praia | 1 quarto,7,completa,mediana,mediana,base,0.55,20,58,441.0,877500.0,10.08897435897436,True,3
meiapraia_1q,Meia Praia | 1 quarto,7,completa,mediana,mediana,otimista,0.7,20,58,441.0,877500.0,12.84051282051282,True,3
meiapraia_1q,Meia Praia | 1 quarto,7,completa,mediana,p75,conservador,0.4,20,58,441.0,1003755.25,6.414511904171858,True,3
meiapraia_1q,Meia Praia | 1 quarto,7,completa,mediana,p75,base,0.55,20,58,441.0,1003755.25,8.819953868236306,True,3
meiapraia_1q,Meia Praia | 1 quarto,7,completa,mediana,p75,otimista,0.7,20,58,441.0,1003755.25,11.225395832300752,True,3
meiapraia_1q,Meia Praia | 1 quarto,7,completa,p75,p25,conservador,0.4,20,58,523.25,757000.0,10.091743725231176,True,4
meiapraia_1q,Meia Praia | 1 quarto,7,completa,p75,p25,base,0.55,20,58,523.25,757000.0,13.87614762219287,True,4
meiapraia_1q,Meia Praia | 1 quarto,7,completa,p75,p25,otimista,0.7,20,58,523.25,757000.0,17.66055151915456,True,4
meiapraia_1q,Meia Praia | 1 quarto,7,completa,p75,mediana,conservador,0.4,20,58,523.25,877500.0,8.705925925925925,True,3
meiapraia_1q,Meia Praia | 1 quarto,7,completa,p75,mediana,base,0.55,20,58,523.25,877500.0,11.97064814814815,True,3
meiapraia_1q,Meia Praia | 1 quarto,7,completa,p75,mediana,otimista,0.7,20,58,523.25,877500.0,15.235370370370372,True,3
meiapraia_1q,Meia Praia | 1 quarto,7,completa,p75,p75,conservador,0.4,20,58,523.25,1003755.25,7.610869283124547,True,3
meiapraia_1q,Meia Praia | 1 quarto,7,completa,p75,p75,base,0.55,20,58,523.25,1003755.25,10.464945264296253,True,3
meiapraia_1q,Meia Praia | 1 quarto,7,completa,p75,p75,otimista,0.7,20,58,523.25,1003755.25,13.319021245467958,True,3
morretes_1q,Morretes | 1 quarto,7,completa,p25,p25,conservador,0.4,4,50,306.25,446750.0,10.008393956351428,False,
morretes_1q,Morretes | 1 quarto,7,completa,p25,p25,base,0.55,4,50,306.25,446750.0,13.761541689983215,False,
morretes_1q,Morretes | 1 quarto,7,completa,p25,p25,otimista,0.7,4,50,306.25,446750.0,17.514689423615,False,
morretes_1q,Morretes | 1 quarto,7,completa,p25,mediana,conservador,0.4,4,50,306.25,624500.0,7.15972778222578,False,
morretes_1q,Morretes | 1 quarto,7,completa,p25,mediana,base,0.55,4,50,306.25,624500.0,9.84462570056045,False,
morretes_1q,Morretes | 1 quarto,7,completa,p25,mediana,otimista,0.7,4,50,306.25,624500.0,12.529523618895116,False,
morretes_1q,Morretes | 1 quarto,7,completa,p25,p75,conservador,0.4,4,50,306.25,750000.0,5.961666666666667,False,
morretes_1q,Morretes | 1 quarto,7,completa,p25,p75,base,0.55,4,50,306.25,750000.0,8.197291666666667,False,
morretes_1q,Morretes | 1 quarto,7,completa,p25,p75,otimista,0.7,4,50,306.25,750000.0,10.432916666666667,False,
morretes_1q,Morretes | 1 quarto,7,completa,mediana,p25,conservador,0.4,4,50,415.0,446750.0,13.562395075545608,False,
morretes_1q,Morretes | 1 quarto,7,completa,mediana,p25,base,0.55,4,50,415.0,446750.0,18.64829322887521,False,
morretes_1q,Morretes | 1 quarto,7,completa,mediana,p25,otimista,0.7,4,50,415.0,446750.0,23.734191382204813,False,
morretes_1q,Morretes | 1 quarto,7,completa,mediana,mediana,conservador,0.4,4,50,415.0,624500.0,9.702161729383507,False,
morretes_1q,Morretes | 1 quarto,7,completa,mediana,mediana,base,0.55,4,50,415.0,624500.0,13.340472377902321,False,
morretes_1q,Morretes | 1 quarto,7,completa,mediana,mediana,otimista,0.7,4,50,415.0,624500.0,16.978783026421137,False,
morretes_1q,Morretes | 1 quarto,7,completa,mediana,p75,conservador,0.4,4,50,415.0,750000.0,8.078666666666667,False,
morretes_1q,Morretes | 1 quarto,7,completa,mediana,p75,base,0.55,4,50,415.0,750000.0,11.108166666666666,False,
morretes_1q,Morretes | 1 quarto,7,completa,mediana,p75,otimista,0.7,4,50,415.0,750000.0,14.137666666666668,False,
morretes_1q,Morretes | 1 quarto,7,completa,p75,p25,conservador,0.4,4,50,491.25,446750.0,16.054280917739227,False,
morretes_1q,Morretes | 1 quarto,7,completa,p75,p25,base,0.55,4,50,491.25,446750.0,22.074636261891442,False,
morretes_1q,Morretes | 1 quarto,7,completa,p75,p25,otimista,0.7,4,50,491.25,446750.0,28.094991606043646,False,
morretes_1q,Morretes | 1 quarto,7,completa,p75,mediana,conservador,0.4,4,50,491.25,624500.0,11.484787830264212,False,
morretes_1q,Morretes | 1 quarto,7,completa,p75,mediana,base,0.55,4,50,491.25,624500.0,15.791583266613292,False,
morretes_1q,Morretes | 1 quarto,7,completa,p75,mediana,otimista,0.7,4,50,491.25,624500.0,20.098378702962368,False,
morretes_1q,Morretes | 1 quarto,7,completa,p75,p75,conservador,0.4,4,50,491.25,750000.0,9.563,False,
morretes_1q,Morretes | 1 quarto,7,completa,p75,p75,base,0.55,4,50,491.25,750000.0,13.149125000000003,False,
