segmento,rotulo,metrica_diaria,metrica_preco,ocupacao_assumida,custo_variavel_assumido,preparacao_assumida,diaria_usada,preco_compra_usado,receita_bruta_anual,custos_variaveis_anuais,custos_fixos_anuais,potencial_liquido_anual,itbi_estimado,cartorio_estimado,preparacao_estimada,investimento_total_estimado,retorno_liquido_estimado_percentual,payback_estimado_anos,ocupacao_equilibrio_percentual
centro_1q,Centro | 1 quarto,p25,p75,0.7,0.4,0.03,376.25,980000.0,96131.875,38452.75,7000.0,50679.125,14700.0,7159.85,29400.0,1031259.85,4.914292455000551,20.348809297713803,8.495274503557395
centro_1q,Centro | 1 quarto,p25,p75,0.7,0.4,0.05,376.25,980000.0,96131.875,38452.75,7000.0,50679.125,14700.0,7159.85,49000.0,1050859.85,4.82263405534049,20.73555630646741,8.495274503557395
centro_1q,Centro | 1 quarto,p25,p75,0.7,0.4,0.08,376.25,980000.0,96131.875,38452.75,7000.0,50679.125,14700.0,7159.85,78400.0,1080259.85,4.691382818680153,21.315676819597815,8.495274503557395
centro_1q,Centro | 1 quarto,mediana,p25,0.4,0.2,0.03,445.0,652500.0,64970.0,12994.0,7000.0,44976.0,9787.5,6300.74,19575.0,688163.24,6.535658603327897,15.300676805407328,5.387101739264276
centro_1q,Centro | 1 quarto,mediana,p25,0.4,0.2,0.05,445.0,652500.0,64970.0,12994.0,7000.0,44976.0,9787.5,6300.74,32625.0,701213.24,6.414026067163251,15.5908315546069,5.387101739264276
centro_1q,Centro | 1 quarto,mediana,p25,0.4,0.2,0.08,445.0,652500.0,64970.0,12994.0,7000.0,44976.0,9787.5,6300.74,52200.0,720788.24,6.239835433497084,16.02606367840626,5.387101739264276
centro_1q,Centro | 1 quarto,mediana,p25,0.4,0.3,0.03,445.0,652500.0,64970.0,19491.0,7000.0,38479.0,9787.5,6300.74,19575.0,688163.24,5.591551213924185,17.884124847319317,6.156687702016315
centro_1q,Centro | 1 quarto,mediana,p25,0.4,0.3,0.05,445.0,652500.0,64970.0,19491.0,7000.0,38479.0,9787.5,6300.74,32625.0,701213.24,5.48748908391975,18.223270875022738,6.156687702016315
centro_1q,Centro | 1 quarto,mediana,p25,0.4,0.3,0.08,445.0,652500.0,64970.0,19491.0,7000.0,38479.0,9787.5,6300.74,52200.0,720788.24,5.338461126946244,18.731989916577874,6.156687702016315
centro_1q,Centro | 1 quarto,mediana,p25,0.4,0.4,0.03,445.0,652500.0,64970.0,25988.0,7000.0,31982.0,9787.5,6300.74,19575.0,688163.24,4.647443824520473,21.517204677631167,7.182802319019034
centro_1q,Centro | 1 quarto,mediana,p25,0.4,0.4,0.05,445.0,652500.0,64970.0,25988.0,7000.0,31982.0,9787.5,6300.74,32625.0,701213.24,4.560952100676251,21.925246701269465,7.182802319019034
centro_1q,Centro | 1 quarto,mediana,p25,0.4,0.4,0.08,445.0,652500.0,64970.0,25988.0,7000.0,31982.0,9787.5,6300.74,52200.0,720788.24,4.437086820395405,22.537309736726908,7.182802319019034
centro_1q,Centro | 1 quarto,mediana,p25,0.55,0.2,0.03,445.0,652500.0,89333.75,17866.75,7000.0,64467.0,9787.5,6300.74,19575.0,688163.24,9.367980771539033,10.674658972807793,5.387101739264276
centro_1q,Centro | 1 quarto,mediana,p25,0.55,0.2,0.05,445.0,652500.0,89333.75,17866.75,7000.0,64467.0,9787.5,6300.74,32625.0,701213.24,9.193637016893748,10.877088122605365,5.387101739264276
centro_1q,Centro | 1 quarto,mediana,p25,0.55,0.2,0.08,445.0,652500.0,89333.75,17866.75,7000.0,64467.0,9787.5,6300.74,52200.0,720788.24,8.943958353149602,11.18073184730172,5.387101739264276
centro_1q,Centro | 1 quarto,mediana,p25,0.55,0.3,0.03,445.0,652500.0,89333.75,26800.125,7000.0,55533.625,9787.5,6300.74,19575.0,688163.24,8.06983311110893,12.391829994890482,6.156687702016315
centro_1q,Centro | 1 quarto,mediana,p25,0.55,0.3,0.05,445.0,652500.0,89333.75,26800.125,7000.0,55533.625,9787.5,6300.74,32625.0,701213.24,7.919648664933937,12.626822758283833,6.156687702016315
